id,iso_code,location,new_deaths,holt_linear,holt_winter,ar_arima,fb_prophet,date
0,RWA,Rwanda,,1.5240727780495893,-0.5176384563155785,7.96720342083268,-84.64728899307781,2023-01-20
1,RWA,Rwanda,,1.842941184314157,3.9923670709371564,4.090125459348155,-112.17320285123068,2023-01-21
2,RWA,Rwanda,,2.1618095905787245,0.890632651557016,4.799977322903397,-122.03222542870813,2023-01-22
3,RWA,Rwanda,,2.4806779968432924,0.6793339452808634,7.515915962786282,-100.18724117417958,2023-01-23
4,RWA,Rwanda,,2.7995464031078603,-4.26264679979402,7.5064943224308935,-101.34003978110317,2023-01-24
5,RWA,Rwanda,,3.1184148093724278,6.059486009571547,6.246555473142006,-104.70109257372128,2023-01-25
6,RWA,Rwanda,,3.4372832156369952,-4.283060350888206,5.9961400448328295,-107.47223935625021,2023-01-26
7,RWA,Rwanda,,3.756151621901563,0.2269451763645285,6.563489599235816,-117.25547764844725,2023-01-27
8,RWA,Rwanda,,4.075020028166131,-2.874789243015612,6.805753625015306,-137.4363558828773,2023-01-28
9,RWA,Rwanda,,4.393888434430698,-3.0860879492917648,6.583540584700073,-140.0467162529517,2023-01-29
10,RWA,Rwanda,,4.712756840695266,-8.028068694366647,6.428000013809961,-111.16166092520291,2023-01-30
11,RWA,Rwanda,,5.031625246959834,2.2940641149989194,6.510664163305148,-105.58611838270286,2023-01-31
12,RWA,Rwanda,,5.350493653224402,-8.048482245460834,6.608701283466569,-102.62316025061273,2023-02-01
13,RWA,Rwanda,,5.669362059488969,-3.5384767182080994,6.594050121111994,-99.55553190879424,2023-02-02
14,RWA,Rwanda,,5.988230465753537,-6.64021113758824,6.549485154350447,-104.05359692133891,2023-02-03
15,RWA,Rwanda,,6.307098872018105,-6.851509843864393,6.55367011964244,-119.55819671852237,2023-02-04
16,RWA,Rwanda,,6.625967278282673,-11.793490588939276,6.582103754841018,-118.14316328760023,2023-02-05
17,RWA,Rwanda,,6.9448356845472405,-1.4713577795737098,6.5917006052036395,-85.91234350471072,2023-02-06
